batch_id,road_level,weather,time,info,select4test,first,
20241114_101032_n000004,城区道路,阴天,白天,城区道路,1,,
20241114_101032_n000005,城区道路,阴天,白天,城区道路,1,,
20241114_101032_n000006,城区道路,雨天,白天,刚开始下雨，曹安公路,1,,
20241114_101032_n000007,城区道路,雨天,白天,刚开始下雨，曹安公路,1,,
20241114_101032_n000008,城区道路,雨天,白天,雨停，雨刮器关，曹安公路,1,,
20241114_105051_n000001,其他,雨天,白天,雨很小，雨刮器开，嘉闵高架,0,,
20241114_105051_n000002,高速/快速路,雨天,白天,雨开始加大,1,,
20241114_105051_n000003,高速/快速路,雨天,白天,雨变小，雨刮器开，嘉闵高架,1,,
20241114_105051_n000004,高速/快速路,雨天,白天,前鱼眼有雨珠，雨刮器开，嘉闵高架,1,,
20241114_105051_n000005,高速/快速路,雨天,白天,前鱼眼有雨珠，雨刮器开，嘉闵高架,1,,
20241114_105051_n000006,其他,,,,0,,
20241114_105051_n000007,高速/快速路,雨天,白天,雨变小，雨刮器关，嘉闵高架,1,,
20241114_105051_n000008,高速/快速路,阴天,白天,雨停，雨刮器关，嘉闵高架,1,,
20241114_113237_n000001,城区道路,阴天,白天,长时间堵车,0,,
20241114_113237_n000002,城区道路,阴天,白天,博园路,1,,
20241114_113237_n000003,城区道路,阴天,白天,博园路,1,,
20241114_113237_n000004,城区道路,阴天,白天,博园路,1,,
20241114_113237_n000005,城区道路,阴天,白天,博园路绿化带，树林,0,,
20241114_113237_n000006,其他,阴天,白天,废弃,0,,
20241114_113237_n000007,其他,,,废弃,0,,
20241114_113237_n000008,其他,,,废弃,0,,
20241114_113237_n000009,其他,,,废弃,0,,
20241114_113237_n000010,其他,,,废弃,0,,
20241114_113237_n000011,其他,,,废弃,0,,
20241114_113237_n000012,其他,,,废弃,0,,
20241114_113237_n000013,其他,,,废弃,0,,
20241114_113237_n000014,其他,,,废弃,0,,
20241114_113237_n000015,其他,,,废弃,0,,
20241114_113237_n000016,城区道路,阴天,白天,曹安公路,1,,
20241114_113237_n000017,城区道路,阴天,白天,曹安公路,1,,
20241114_113237_n000018,城区道路,阴天,白天,曹安公路，部分堵车,1,,
20241114_113237_n000019,城区道路,阴天,白天,曹安公路，部分堵车，中途有司机下车,1,,
20241114_113237_n000020,城区道路,阴天,白天,曹安公路，有特种车辆,1,,
20241114_113237_n000021,城区道路,阴天,白天,曹安公路，部分堵车,1,,
20241114_113237_n000022,城区道路,阴天,白天,曹安公路，部分堵车 ,1,,
20241114_113237_n000023,城区道路,阴天,白天,曹安公路，部分堵车2min，,1,,
20241114_113237_n000024,城区道路,雨天,白天,曹安公路，部分堵车3min+，雨刮开，绿化带有工人,1,,
