scenario_id,truth_source,road_level,weather,time,low_velocity_ratio[%],average_ego_velocity[m/s],average_velocity[m/s],flow[/s],area_occ[%]
20241111_093841_n000002,robosense,城区道路,晴天,morning,0.39256061109266027,14.036898023773244,4.696355719738176,0.17924000418392197,0.0473768228970767
20241111_093841_n000003,robosense,城区道路,晴天,morning,0.4951811232967763,13.751283150428687,6.3546136498376296,0.35131836278371836,0.08398654937311181
20241111_093841_n000004,robosense,城区道路,晴天,morning,0.3810470510271703,10.058127624830291,6.312298392436534,0.5394297308780093,0.10906320693827568
20241111_093841_n000006,robosense,城区道路,晴天,morning,0.2902155887230514,11.76816077042963,8.363831905972091,0.5115404049078748,0.08155501876229206
20241111_093841_n000007,robosense,城区道路,晴天,morning,0.4233576642335766,11.233774331414384,4.874541667542367,0.4659136679696734,0.09073074498930596
20241111_093841_n000008,robosense,城区道路,晴天,morning,0.5482907401261201,8.5227410255505,3.1285847553754356,0.42181823856228173,0.10491588675791164
20241111_093841_n000009,robosense,城区道路,晴天,morning,0.3854581673306773,11.979447213203311,5.961091355733981,0.41136744006537646,0.029241737882534286
20241111_093841_n000010,robosense,城区道路,晴天,morning,0.4245847176079734,11.094461882499845,6.654140342368211,0.45996611139613564,0.06486411829686184
20241111_093841_n000011,robosense,城区道路,晴天,morning,0.3593905266644584,10.590544866307445,5.427565753582055,0.3811825638896183,0.061314356582921226
20241111_093841_n000012,robosense,城区道路,晴天,morning,0.3950944647000331,9.12803587495464,4.57429086119493,0.47820582942607376,0.08615949082445186
20241111_093841_n000013,robosense,城区道路,晴天,morning,0.541445623342175,12.335282203173689,3.6247509510538447,0.28653316347686697,0.07557751206153596
20241111_093841_n000014,robosense,城区道路,晴天,morning,0.4980092899800929,13.487503900011092,5.396975525243498,0.31139199864605327,0.07781446239829173
20241111_093841_n000015,robosense,城区道路,晴天,morning,0.24892134085628942,11.323849424976613,7.639856654252534,0.4494166461594069,0.07830545313011256
20241111_093841_n000016,robosense,城区道路,晴天,morning,0.44223107569721115,10.956078214162872,4.472558136140869,0.33760302701292644,0.09724013595090542
20241111_093841_n000018,robosense,城区道路,晴天,morning,0.3291307232913072,10.187115904603349,3.077878151743221,0.14319719605490172,0.03348140453577805
20241111_125838_n000004,robosense,城区道路,晴天,afternoon,0.3240556660039761,12.42150814182618,8.268531744166213,0.2506877515587595,0.03600652126507829
20241111_125838_n000005,robosense,城区道路,晴天,afternoon,0.0912106135986733,12.094194568943804,9.944723952627822,0.3725978775159831,0.03181159148826646
20241111_125838_n000006,robosense,城区道路,晴天,afternoon,0.032525721871888486,11.754876103981895,9.7084171011038,0.3573320911201129,0.028611539897505103
20241111_125838_n000008,robosense,高速/快速路,晴天,afternoon,0.0019933554817275745,17.222634515495656,18.360087311828558,1.1553430664915516,0.036469714742749446
20241111_125838_n000009,robosense,高速/快速路,晴天,afternoon,0.0,18.570426837271455,19.957018517521693,1.2683953764170381,0.03540154062758518
20241111_125838_n000010,robosense,高速/快速路,晴天,afternoon,0.0,19.110245213747262,21.061466526340233,1.2467994509339113,0.03548481498804671
20241111_125838_n000011,robosense,高速/快速路,晴天,afternoon,0.0,19.063996326385823,20.632732567102547,0.9649086210196541,0.026020296331653946
20241111_125838_n000012,robosense,高速/快速路,晴天,afternoon,0.09093926319283106,15.740864688786942,11.017975855414946,0.3901253231971405,0.02215845994332597
20241111_125838_n000013,robosense,高速/快速路,晴天,afternoon,0.0,18.606360883658926,16.008454877929037,0.5591161274501569,0.01648435951384902
20241111_125838_n000014,robosense,高速/快速路,晴天,afternoon,0.02782378270950646,16.876605979100606,17.89926452548439,1.3094356302593484,0.052389896067912285
20241111_125838_n000015,robosense,高速/快速路,晴天,afternoon,0.36779324055666,14.143591625260607,9.36958398507823,0.7255577946564876,0.10940331658619296
20241111_125838_n000016,robosense,高速/快速路,晴天,afternoon,0.0,18.503970817798645,20.866135282359146,0.8088520331948268,0.02353873058394519
20241111_125838_n000018,robosense,城区道路,晴天,afternoon,0.37782204515272244,11.29730389479512,7.578133544446809,0.5718353542136186,0.08887772609901998
