index,package,topic,level_1,level_2,.hpp,struct,msg_type,pub_count,sub_count
1,pk_fs_staticobjects,/PK/FS/StaticObjects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,3,0
2,va_fusobjects,/VA/FusObjects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,3,1
3,va_objects,/VA/Objects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,3,1
4,va_pk_objects,/VA/PK/Objects,proto_horizon_msgs,msg,objects,Objects,proto_horizon_msgs/msg/Objects,3,0
5,lp_lines,/LP/Lines,proto_horizon_msgs,msg,lines,Lines,proto_horizon_msgs/msg/Lines,2,0
6,va_bevlaneinstance,/VA/BevLaneInstance,proto_horizon_msgs,msg,lines,Lines,proto_horizon_msgs/msg/Lines,2,1
7,va_lines,/VA/Lines,proto_horizon_msgs,msg,lines,Lines,proto_horizon_msgs/msg/Lines,2,1
8,va_slots,/VA/Slots,proto_horizon_msgs,msg,slots,Slots,proto_horizon_msgs/msg/Slots,1,0
9,lp_freespaces,/LP/Freespaces,proto_horizon_msgs,msg,freespaces,Freespaces,proto_horizon_msgs/msg/Freespaces,1,0
10,va_freespaces,/VA/Freespaces,proto_horizon_msgs,msg,freespaces,Freespaces,proto_horizon_msgs/msg/Freespaces,1,0
11,va_pk_freespaces,/VA/PK/Freespaces,proto_horizon_msgs,msg,freespaces,Freespaces,proto_horizon_msgs/msg/Freespaces,1,0
12,va_frontviewobstacles,/VA/FrontViewObstacles,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,3,0
13,va_obstacles,/VA/Obstacles,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,3,1
14,va_pk_obstacles,/VA/PK/Obstacles,proto_horizon_msgs,msg,obstacles,Obstacles,proto_horizon_msgs/msg/Obstacles,3,0
15,va_weathertype,/VA/WeatherType,proto_horizon_msgs,msg,work_condition,WorkCondition,proto_horizon_msgs/msg/WorkCondition,0,1
16,pi_pl_planningdata,/PI/PL/PlanningData,plan_algo_msgs,msg,planning_data,PlanningData,plan_algo_msgs/msg/PlanningData,1,0
17,proto_upcussraw,/Proto/UpcUssRaw,uss_msgs,msg,upc_uss_raw,UpcUssRaw,uss_msgs/msg/UpcUssRaw,1,0
18,sa_upcussraw,/SA/UpcUssRaw,uss_msgs,msg,upc_uss_raw,UpcUssRaw,uss_msgs/msg/UpcUssRaw,1,0
19,proto_upcodobslist,/Proto/UpcodObsList,uss_msgs,msg,upcod_obs_list,UpcodObsList,uss_msgs/msg/UpcodObsList,1,0
20,sa_upcodobslist,/SA/UpcodObsList,uss_msgs,msg,upcod_obs_list,UpcodObsList,uss_msgs/msg/UpcodObsList,1,0
21,proto_upcusspas,/Proto/UpcUssPas,uss_msgs,msg,upc_uss_pas,UpcUssPas,uss_msgs/msg/UpcUssPas,1,0
22,sa_upcusspas,/SA/UpcUssPas,uss_msgs,msg,upc_uss_pas,UpcUssPas,uss_msgs/msg/UpcUssPas,1,0
23,proto_vhm,/Proto/Vhm,uss_msgs,msg,vhm,Vhm,uss_msgs/msg/Vhm,1,0
24,sa_vhm,/SA/Vhm,uss_msgs,msg,vhm,Vhm,uss_msgs/msg/Vhm,1,0
25,proto_upcparkingslots,/Proto/UPCParkingSlots,uss_msgs,msg,upc_parking_slots,UPCParkingSlots,uss_msgs/msg/UPCParkingSlots,1,0
26,sa_upcparkingslots,/SA/UPCParkingSlots,uss_msgs,msg,upc_parking_slots,UPCParkingSlots,uss_msgs/msg/UPCParkingSlots,1,0
27,proto_ussstatus,/Proto/UssStatus,uss_msgs,msg,uss_status,UssStatus,uss_msgs/msg/UssStatus,1,0
28,sa_ussstatus,/SA/UssStatus,uss_msgs,msg,uss_status,UssStatus,uss_msgs/msg/UssStatus,1,0
29,vcimlocalreqresp,/VcimLocalReqResp,proto_gateway_msgs,msg,vcim_local_req_resp,VcimLocalReqResp,proto_gateway_msgs/msg/VcimLocalReqResp,1,0
30,vcimlocalreqrespalgo,/VcimLocalReqRespAlgo,proto_gateway_msgs,msg,vcim_local_req_resp,VcimLocalReqResp,proto_gateway_msgs/msg/VcimLocalReqResp,1,0
31,diag_diaggenericcommandclient,/Diag/DiagGenericCommandClient,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,4,4
32,diag_diaggenericcommandgateway,/Diag/DiagGenericCommandGateway,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,4,0
33,diag_diaggenericcommandjaclient,/Diag/DiagGenericCommandJAClient,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,4,1
34,diag_diaggenericcommandjaserver,/Diag/DiagGenericCommandJAServer,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,4,1
35,diag_diaggenericcommandjbclient,/Diag/DiagGenericCommandJBClient,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,4,1
36,diag_diaggenericcommandjbserver,/Diag/DiagGenericCommandJBServer,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,4,0
37,diag_diaggenericcommandserver,/Diag/DiagGenericCommandServer,diag_service_msgs,msg,diag_generic_command,DiagGenericCommand,diag_service_msgs/msg/DiagGenericCommand,4,0
38,diag_diagcalresult,/Diag/DiagCalResult,diag_service_msgs,msg,diag_cal_result,DiagCalResult,diag_service_msgs/msg/DiagCalResult,1,1
39,diag_diaglidarcalresult,/Diag/DiagLidarCalResult,diag_service_msgs,msg,diag_cal_result,DiagCalResult,diag_service_msgs/msg/DiagCalResult,1,1
40,diag_diagcalcommand,/Diag/DiagCalCommand,diag_service_msgs,msg,diag_cal_command,DiagCalCommand,diag_service_msgs/msg/DiagCalCommand,2,1
41,diag_diaglidarcalcommand,/Diag/DiagLidarCalCommand,diag_service_msgs,msg,diag_cal_command,DiagCalCommand,diag_service_msgs/msg/DiagCalCommand,2,0
42,diag_diagcalreceiver,/Diag/DiagCalReceiver,diag_service_msgs,msg,diag_cal_receiver,DiagCalReceiver,diag_service_msgs/msg/DiagCalReceiver,0,1
43,diag_diagcalsender,/Diag/DiagCalSender,diag_service_msgs,msg,diag_cal_sender,DiagCalSender,diag_service_msgs/msg/DiagCalSender,1,0
44,diag_diagitcnotifyja,/Diag/DiagItcNotifyJA,diag_service_msgs,msg,diag_itc_notify,DiagItcNotify,diag_service_msgs/msg/DiagItcNotify,0,1
45,diag_diagexceptionset,/DIAG/DiagExceptionSet,diag_service_msgs,msg,diag_exception_set,DiagExceptionSet,diag_service_msgs/msg/DiagExceptionSet,1,0
46,pi_cus_hmioutputes33,/PI/CUS/HMIOutputES33,cus_app_msgs,msg,hmi_es33,HmiES33,cus_app_msgs/msg/HmiES33,1,0
47,pk_cus_hmioutput,/PK/CUS/HMIOutput,cus_app_msgs,msg,parking_hmi_output,ParkingHMIOutput,cus_app_msgs/msg/ParkingHMIOutput,1,0
48,pk_cus_targetslot,/PK/CUS/TargetSlot,cus_app_msgs,msg,apa_target,ApaTarget,cus_app_msgs/msg/ApaTarget,2,1
