index,topic,level_1,level_2,.hpp,struct,msg_type,topic_num
1,TBD,soa_parking_msgs,msg,map_edt_name,MapEdtName,soa_parking_msgs/msg/MapEdtName,0
2,TBD,soa_parking_msgs,msg,memparking_to_slam,MemparkingToSlam,soa_parking_msgs/msg/MemparkingToSlam,0
3,TBD,soa_parking_msgs,msg,parking_spc_set_req,ParkingSpcSetReq,soa_parking_msgs/msg/ParkingSpcSetReq,0
4,TBD,soa_parking_msgs,msg,map_preview_info_received,MapPreviewInfoReceived,soa_parking_msgs/msg/MapPreviewInfoReceived,0
5,TBD,soa_parking_msgs,msg,map_path_received,MapPathReceived,soa_parking_msgs/msg/MapPathReceived,0
6,TBD,soa_parking_msgs,msg,map_delete,MapDelete,soa_parking_msgs/msg/MapDelete,0
7,TBD,soa_parking_msgs,msg,map_management,MapManagement,soa_parking_msgs/msg/MapManagement,1
8,TBD,soa_parking_msgs,msg,map_cover,MapCover,soa_parking_msgs/msg/MapCover,0
9,TBD,soa_parking_msgs,msg,map_preview_req,MapPreviewReq,soa_parking_msgs/msg/MapPreviewReq,0
10,TBD,soa_parking_msgs,msg,soa_diy_parking,SoaDIYParking,soa_parking_msgs/msg/SoaDIYParking,1
11,TBD,soa_parking_msgs,msg,memparking_to_cus,MemparkingToCus,soa_parking_msgs/msg/MemparkingToCus,0
12,TBD,soa_parking_msgs,msg,parking_spc_rcmnd_select_req,ParkingSpcRcmndSelectReq,soa_parking_msgs/msg/ParkingSpcRcmndSelectReq,0
13,TBD,soa_parking_msgs,msg,soa_diy_parking_direction,SoaDIYParkingDirection,soa_parking_msgs/msg/SoaDIYParkingDirection,1
14,TBD,uss_msgs,msg,vhm,Vhm,uss_msgs/msg/Vhm,1
15,TBD,uss_msgs,msg,upc_uss_pas,UpcUssPas,uss_msgs/msg/UpcUssPas,1
16,TBD,uss_msgs,msg,hat_uod_obs_list,HatUodObsList,uss_msgs/msg/HatUodObsList,0
17,TBD,uss_msgs,msg,hat_uod_obs,HatUodObs,uss_msgs/msg/HatUodObs,0
18,TBD,uss_msgs,msg,hat_v_pose,HatVPose,uss_msgs/msg/HatVPose,0
19,TBD,uss_msgs,msg,hat_uss_pack,HatUssPack,uss_msgs/msg/HatUssPack,0
20,TBD,uss_msgs,msg,upc_slots_list,UPCSlotsList,uss_msgs/msg/UPCSlotsList,0
