index,package,topic,level_1,level_2,.hpp,struct,msg_type,pub_count,sub_count
1,soa_hpp_memparkingtocus,/SOA/HPP/MemparkingToCus,soa_parking_msgs,msg,memparking_to_cus,MemparkingToCus,soa_parking_msgs/msg/MemparkingToCus,1,1
2,soa_pk_diyparkingdirection,/SOA/PK/DIYParkingDirection,soa_parking_msgs,msg,soa_diy_parking_direction,SoaDIYParkingDirection,soa_parking_msgs/msg/SoaDIYParkingDirection,1,0
3,soa_hpp_memparkingtoslam,/SOA/HPP/MemparkingToSlam,soa_parking_msgs,msg,memparking_to_slam,MemparkingToSlam,soa_parking_msgs/msg/MemparkingToSlam,1,0
4,soa_pk_diyparking,/SOA/PK/DIYParking,soa_parking_msgs,msg,soa_diy_parking,SoaDIYParking,soa_parking_msgs/msg/SoaDIYParking,1,0
5,pi_pl_trajectorysolverdebug,/PI/PL/TrajectorySolverDebug,pilot_planning_msgs,msg,trajectory_solver_debug,TrajectorySolverDebug,pilot_planning_msgs/msg/TrajectorySolverDebug,1,0
6,pi_eg_egomotioninfo,/PI/EG/EgoMotionInfo,pilot_ego_motion_msgs,msg,ego_motion_info,EgoMotionInfo,pilot_ego_motion_msgs/msg/EgoMotionInfo,1,3
7,hpp_vslam_vslamlocalizationoutput,/HPP/VSLAM/VSLAMLocalizationOutput,hpp_localization_msgs,msg,vslam_localization_output,VSLAMLocalizationOutput,hpp_localization_msgs/msg/VSLAMLocalizationOutput,1,1
8,hpp_vslam_localizationtoicm,/HPP/VSLAM/LocalizationToICM,hpp_localization_msgs,msg,localization_to_icm,LocalizationToICM,hpp_localization_msgs/msg/LocalizationToICM,1,0
9,hpp_vslam_vslamlocalizationstart,/HPP/VSLAM/VSLAMLocalizationStart,hpp_localization_msgs,msg,vslam_localization_start,VSLAMLocalizationStart,hpp_localization_msgs/msg/VSLAMLocalizationStart,1,1
10,hpp_vslam_parkingspcrcmndlist,/HPP/VSLAM/ParkingSpcRcmndList,hpp_localization_msgs,msg,parking_spc_rcmnd_list,ParkingSpcRcmndList,hpp_localization_msgs/msg/ParkingSpcRcmndList,1,0
11,hpp_vslam_mappreviewresp,/HPP/VSLAM/MapPreviewResp,hpp_localization_msgs,msg,map_preview_resp,MapPreviewResp,hpp_localization_msgs/msg/MapPreviewResp,1,1
12,hpp_vslam_localizationpreviewinfo,/HPP/VSLAM/LocalizationPreviewInfo,hpp_localization_msgs,msg,localization_preview_info,LocalizationPreviewInfo,hpp_localization_msgs/msg/LocalizationPreviewInfo,1,0
13,hpp_vslam_mapmanagementresp,/HPP/VSLAM/MapManagementResp,hpp_localization_msgs,msg,map_management_resp,MapManagementResp,hpp_localization_msgs/msg/MapManagementResp,1,1
14,diag_diagitcnotifyja,/Diag/DiagItcNotifyJA,diag_service_msgs,msg,diag_itc_notify,DiagItcNotify,diag_service_msgs/msg/DiagItcNotify,0,1
